date,total assets
2020-12-17 23:59:59,100000.0
2020-12-18 23:59:59,101931.94410451107
2020-12-19 23:59:59,103523.364307378
2020-12-20 23:59:59,104469.374631038
2020-12-21 23:59:59,100480.79762289044
2020-12-22 23:59:59,100679.25467184748
2020-12-23 23:59:59,90106.98550295578
2020-12-24 23:59:59,101105.97662251457
2020-12-25 23:59:59,101366.17913423709
2020-12-26 23:59:59,101763.24344455643
2020-12-27 23:59:59,100440.54843052695
2020-12-28 23:59:59,99841.03044179114
2020-12-29 23:59:59,97529.33646263428
2020-12-30 23:59:59,94772.19367944515
2020-12-31 23:59:59,95445.41205337258
2021-01-01 23:59:59,100186.81974288472
2021-01-02 23:59:59,109253.67909901669
2021-01-03 23:59:59,112635.6616065444
2021-01-04 23:59:59,116556.87986334349
2021-01-05 23:59:59,119722.35623291743
2021-01-06 23:59:59,137238.54005747903
2021-01-07 23:59:59,137161.72463387423
2021-01-08 23:59:59,137089.09096938497
2021-01-09 23:59:59,139627.84939997536
2021-01-10 23:59:59,142119.2941198203
2021-01-11 23:59:59,127619.46524474269
2021-01-12 23:59:59,124646.4458933059
2021-01-13 23:59:59,133682.75904122274
2021-01-14 23:59:59,135811.01991218698
2021-01-15 23:59:59,131936.18870416237
2021-01-16 23:59:59,132048.61949480555
2021-01-17 23:59:59,132715.25997924304
2021-01-18 23:59:59,134690.72717188805
2021-01-19 23:59:59,137852.8064992224
2021-01-20 23:59:59,136754.43777370357
2021-01-21 23:59:59,120826.35894607186
2021-01-22 23:59:59,126383.78439897315
2021-01-23 23:59:59,126233.97254679826
2021-01-24 23:59:59,129571.2480028792
2021-01-25 23:59:59,127479.07787993598
2021-01-26 23:59:59,130337.1815446382
2021-01-27 23:59:59,123077.17923734993
2021-01-28 23:59:59,175725.75614153314
2021-01-29 23:59:59,182228.02851991405
2021-01-30 23:59:59,178657.9100959783
2021-01-31 23:59:59,180946.05775052638
2021-02-01 23:59:59,184605.33557822416
2021-02-02 23:59:59,189060.29071300902
2021-02-03 23:59:59,199736.39226530335
2021-02-04 23:59:59,207199.11264748458
2021-02-05 23:59:59,212296.07977541332
2021-02-06 23:59:59,214330.733211681
2021-02-07 23:59:59,226388.6051380613
2021-02-08 23:59:59,240387.523308389
2021-02-09 23:59:59,240917.86670990632
2021-02-10 23:59:59,246983.2658249838
2021-02-11 23:59:59,257267.526683219
2021-02-12 23:59:59,265241.6020396301
2021-02-13 23:59:59,269937.3619690751
2021-02-14 23:59:59,263470.81790364295
2021-02-15 23:59:59,256701.1461481429
2021-02-16 23:59:59,251885.6490527127
2021-02-17 23:59:59,260316.57296962044
2021-02-18 23:59:59,270896.4122293859
2021-02-19 23:59:59,278269.3345335821
2021-02-20 23:59:59,268060.1931329298
2021-02-21 23:59:59,275660.4562606052
2021-02-22 23:59:59,278547.350332722
2021-02-23 23:59:59,249290.9970864981
2021-02-24 23:59:59,253049.70224874714
2021-02-25 23:59:59,240987.04377638217
2021-02-26 23:59:59,241563.93628723678
2021-02-27 23:59:59,246716.31859369035
2021-02-28 23:59:59,244691.67438837842
2021-03-01 23:59:59,262798.23387204355
2021-03-02 23:59:59,266023.49466589274
2021-03-03 23:59:59,273226.09109786444
2021-03-04 23:59:59,269310.49582712824
2021-03-05 23:59:59,268644.37891886156
2021-03-06 23:59:59,272931.7237049691
2021-03-07 23:59:59,274606.1887742025
2021-03-08 23:59:59,287157.36905780213
2021-03-09 23:59:59,290152.0439153852
2021-03-10 23:59:59,280521.75803980825
2021-03-11 23:59:59,279437.30043979303
2021-03-12 23:59:59,273546.072278852
2021-03-13 23:59:59,286011.2827415631
2021-03-14 23:59:59,273338.52236001607
2021-03-15 23:59:59,272016.08844216156
2021-03-16 23:59:59,277739.7737856683
2021-03-17 23:59:59,280702.03682113
2021-03-18 23:59:59,276426.8500550493
2021-03-19 23:59:59,278585.0481832214
2021-03-20 23:59:59,283131.6932746104
2021-03-21 23:59:59,280206.0063281765
2021-03-22 23:59:59,272420.4670477458
2021-03-23 23:59:59,272077.5744899637
2021-03-24 23:59:59,255972.69098763395
2021-03-25 23:59:59,255072.3189565392
2021-03-26 23:59:59,266752.52083984483
2021-03-27 23:59:59,266898.11002616654
