date,total assets
2020-12-17 23:59:59,100000.0
2020-12-18 23:59:59,102297.70174406277
2020-12-19 23:59:59,104245.9135169199
2020-12-20 23:59:59,102944.23519249793
2020-12-21 23:59:59,100579.36112451575
2020-12-22 23:59:59,100313.25114832968
2020-12-23 23:59:59,89126.72295031504
2020-12-24 23:59:59,96676.69526357511
2020-12-25 23:59:59,95647.00522688386
2020-12-26 23:59:59,95876.1866549956
2020-12-27 23:59:59,96443.52406044485
2020-12-28 23:59:59,97029.68546520943
2020-12-29 23:59:59,94199.79444641882
2020-12-30 23:59:59,93325.28794301859
2020-12-31 23:59:59,93418.41397788022
2021-01-01 23:59:59,97728.8284960073
2021-01-02 23:59:59,105739.84356952646
2021-01-03 23:59:59,109164.11225049054
2021-01-04 23:59:59,113295.96211060579
2021-01-05 23:59:59,116027.28653734601
2021-01-06 23:59:59,132427.40947061748
2021-01-07 23:59:59,135690.3665629539
2021-01-08 23:59:59,134949.8103969363
2021-01-09 23:59:59,137539.51495120628
2021-01-10 23:59:59,136151.7015768464
2021-01-11 23:59:59,124705.85211080617
2021-01-12 23:59:59,123599.25462111527
2021-01-13 23:59:59,130819.89934966064
2021-01-14 23:59:59,132437.16818873922
2021-01-15 23:59:59,126959.01445159593
2021-01-16 23:59:59,127658.27649631012
2021-01-17 23:59:59,128061.73536481464
2021-01-18 23:59:59,129781.38698065255
2021-01-19 23:59:59,131522.4552372493
2021-01-20 23:59:59,129707.09753608298
2021-01-21 23:59:59,114805.2742312394
2021-01-22 23:59:59,119904.4232265886
2021-01-23 23:59:59,119691.8148627668
2021-01-24 23:59:59,120654.31071801233
2021-01-25 23:59:59,119050.08773595255
2021-01-26 23:59:59,121168.08253076443
2021-01-27 23:59:59,114984.36399206046
2021-01-28 23:59:59,170595.01020830218
2021-01-29 23:59:59,177053.16989733666
2021-01-30 23:59:59,179849.65826864593
2021-01-31 23:59:59,182598.32096779457
2021-02-01 23:59:59,180421.37607770044
2021-02-02 23:59:59,185531.1007389438
2021-02-03 23:59:59,198388.82346145023
2021-02-04 23:59:59,196742.8877541227
2021-02-05 23:59:59,202375.857988577
2021-02-06 23:59:59,201963.4957682531
2021-02-07 23:59:59,210900.28888717754
2021-02-08 23:59:59,225953.31258961477
2021-02-09 23:59:59,230203.84194725755
2021-02-10 23:59:59,236489.7901172463
2021-02-11 23:59:59,243296.22120537466
2021-02-12 23:59:59,257096.6421739814
2021-02-13 23:59:59,261774.5680543993
2021-02-14 23:59:59,253091.87683501505
2021-02-15 23:59:59,243836.5887915334
2021-02-16 23:59:59,241043.99642432292
2021-02-17 23:59:59,250419.53856577468
2021-02-18 23:59:59,255360.80179283873
2021-02-19 23:59:59,270992.13511067076
2021-02-20 23:59:59,259886.7766555945
2021-02-21 23:59:59,268047.15877323976
2021-02-22 23:59:59,264171.32124549156
2021-02-23 23:59:59,239111.3674796006
2021-02-24 23:59:59,244287.67367403847
2021-02-25 23:59:59,232461.6276311955
2021-02-26 23:59:59,234622.72511910214
2021-02-27 23:59:59,242728.89524424667
2021-02-28 23:59:59,236282.48185927057
2021-03-01 23:59:59,249773.85464604525
2021-03-02 23:59:59,246491.05652639855
2021-03-03 23:59:59,250841.99124909437
2021-03-04 23:59:59,248334.26433353804
2021-03-05 23:59:59,247838.140710594
2021-03-06 23:59:59,250267.6348239592
