,daily_return,total assets
0,0.0,100000.0
1,0.00041933018505063956,100041.93301850506
2,0.003483390260248998,100390.4181135982
3,0.00518273631722003,100910.71517945646
4,-1.6531878100415725e-05,100909.04693581408
5,0.000914183844827606,101001.29635631976
6,-0.0015057004404743456,100849.21865990756
7,-0.00023112000581204298,100825.91038790475
8,-0.00013881390987252617,100811.91434906735
9,-0.008385395179439334,99966.56660845462
10,0.002215440612536258,100188.0366000148
11,0.005378804191803575,100726.92843124754
12,-0.005299239777076757,100193.1522854819
13,-0.005141116524876381,99678.04761458756
14,-0.005324328931088517,99147.32890187879
15,-0.00031944207993958866,99115.65707291392
16,-0.024355709205925,96701.62495149185
17,0.01978717597602939,98615.07702157501
18,-0.018875840394269504,96753.63456724717
19,0.01030563838845144,97750.74253786559
20,0.024274296098485974,100123.5730060766
21,-0.002358089882041298,99887.47262161715
22,0.014935323652033757,101379.32435400467
23,0.008865144304410546,102278.06669388656
24,0.01257305507500784,103564.01445939412
25,-0.004331316703160159,103115.44591371983
26,0.0010121347062253306,103219.812635277
27,0.004417744791628215,103675.81142493934
28,-0.0013667946370989077,103534.10788188686
29,0.005919881565110287,104147.01753849698
30,0.0008426576161802238,104234.77781602825
31,-0.001789550611704993,104048.24440562664
32,0.005419777153477659,104612.16270351571
33,0.010303802499567763,105690.06576706539
34,0.006385419605554339,106364.94118512674
35,0.01371558288008979,107823.79835148722
36,-0.01504951316265887,106201.10267894864
37,-0.02098816569252806,103972.13633919368
38,0.018934643814889216,105940.81170744941
39,-0.007235403947808985,105174.28714018724
40,-0.005295140884619483,104617.37447234053
41,-0.01530690169325386,103016.00660588608
42,0.01971776829985305,105047.25235531708
43,0.01610277251771452,106738.8043636057
44,-0.00836019382464915,105846.44727051465
45,0.014506495490285072,107381.90828050706
46,0.0035113843126494265,107758.9674287056
47,0.010395649372622858,108879.1918708503
48,0.005531123902951451,109481.4161715412
49,-0.008064517388381844,108598.50138712114
50,0.00812231672397816,109480.57281113672
51,-0.00486417196675825,108948.04047796415
52,-0.017625721024024023,107027.75271038548
53,0.0013016281952183157,107167.06305098417
54,-0.014188649552588733,105646.50714977358
55,0.00038309094130738067,105686.97936964342
56,0.004579251026640923,106170.94657842444
57,0.01943126076311876,108233.98192685696
58,0.0002277479815474078,108258.63199777564
59,0.0010246931899592425,108369.56388073806
60,-0.00485486416277655,107843.44436871774
61,0.007099631507978185,108609.09308428678
62,0.006147009401027306,109276.71420051294
63,-0.0022616981121776334,109029.56326230067
64,-0.0001992271619586009,109007.84161184233
65,6.066607543360263e-05,109014.45468978441
66,0.008041714931696111,109891.11785783396
67,-0.0005482310285621624,109830.87213726091
68,-0.006517591268036571,109115.03940405826
69,0.0012625758796377911,109252.80542091555
70,0.004228503985009691,109714.78134401138
71,0.006471150893650115,110424.76224935231
72,-0.0035099108151186815,110037.1811820764
73,-0.01459825386089585,108430.83047704305
74,0.012164001693365914,109749.78328257888
75,-0.009009639363595532,108760.97731497008
76,0.003751958908741746,109169.04403273044
77,-0.0005102550663909309,109113.33997491968
78,0.0003579476678977293,109152.39684050024
79,0.0017787342438940759,109346.54994656355
80,0.004021175950176209,109786.25166344341
81,-0.004718903646881762,109268.18092009131
82,0.0003152332747803018,109302.62588659204
83,0.005874711430023481,109944.74727221958
84,0.0033287253367751133,110310.72313810996
85,0.007732177757288887,111163.6652579489
86,0.009634627796377212,112234.68579719031
87,0.0001933519059390408,112256.38658760166
88,-0.00901725389397034,111244.14224852157
89,-0.017438134250651632,109304.25196139327
90,0.012674875852639857,110689.6697851696
91,0.007929164490302443,111567.34638427346
92,-0.00023860956157169906,111540.725348667
93,-0.010811433638356079,110334.81019858578
94,-0.005129717913046577,109768.8237462775
95,0.00262189282245504,110056.6258373872
96,0.003943675610287664,110490.65346845266
97,0.007897918396771326,111363.29963315243
98,-0.0028377611737678736,111047.2771852708
99,0.0011509265914432434,111175.08444949069
100,0.009237872516644374,112202.10570666226
101,0.002605271247137315,112494.42262652809
102,-0.0003712952066094257,112452.65398663656
103,-0.0003974713423838013,112407.95727930187
104,-0.0016911408170780763,112217.85959458248
105,0.004117089329774619,112679.87054692948
106,-0.005902052727115059,112014.828009677
107,-0.0011030724868035522,111891.2675347855
108,-0.007676729610968213,111032.30852809244
109,-0.007888890324437535,110156.38682364521
110,-0.0055286593732197555,109547.36968311264
111,-0.004097626830225544,109098.48544191848
112,-0.0062040551304897995,108421.63242358388
113,-0.006073018790784856,107763.18581254789
114,-0.012375156913349013,106429.59947863522
115,-0.012864959489717838,105060.38699283569
116,0.015524707881359675,106691.41881080206
117,0.0007276694697609902,106769.05489895616
118,0.00038242794113026846,106809.8863687976
119,0.012078890170096328,108100.03125532677
120,0.01340833414027339,109549.47259497219
121,-0.004200316834959938,109089.33010097055
122,-0.00039216049895584177,109046.54957484739
123,0.005339587967878106,109628.81321889587
124,0.006281920206204773,110317.4926758379
125,0.00487049051599926,110854.79297766439
126,-0.009937523373916913,109753.17088133813
127,0.003189368855143194,110103.21422630028
128,-0.007351429298049107,109293.79823142767
129,0.016531295461296922,111100.56630207878
130,0.007003365221425038,111878.64414419938
131,-0.004586634712349663,111365.49767139698
132,0.0006356118602241066,111436.28290253668
133,0.0016555549783835739,111620.77179546854
134,-0.01144030936802695,110343.79563423044
135,-0.023847017991443332,107712.4251544968
136,0.018653483337618473,109721.63708237068
137,0.009178582799095784,110728.72621318356
138,-0.00013897327353426837,110713.33787962743
139,0.004223048092949941,111180.88563002412
140,0.0038203442578674178,111605.6348880254
